team_id,country,venue_city,name,founded,venue_name
2315,Chile,Santiago de Chile,Colo Colo,1925,Estadio Monumental David Arellano
2318,Chile,Santiago de Chile,Palestino,1920,Estadio Municipal de La Cisterna
2319,Chile,Iquique,Deportes Iquique,1978,Estadio Tierra de Campeones
2320,Chile,Rancagua,O'Higgins,1955,Estadio El Teniente
2321,Chile,Santiago de Chile,Union Espanola,1897,Estadio Santa Laura-Universidad SEK
2323,Chile,Santiago de Chile,Universidad de Chile,1927,Estadio Santa Laura-Universidad SEK
2325,Chile,Viña del Mar,Everton de Vina,1909,Estadio Sausalito
2326,Chile,La Calera,Union La Calera,1954,Estadio Municipal Nicolás Chahuán Nazar
2328,Chile,Talcahuano,Huachipato,1947,Estadio CAP
2329,Chile,Santiago de Chile,A. Italiano,1910,Estadio Bicentenario Municipal de La Florida
2330,Chile,Coquimbo,Coquimbo Unido,1957,Estadio Bicentenario Francisco Sánchez Rumoroso
2331,Chile,"El Salvador, Diego de Almagro",Cobresal,1979,Estadio El Cobre
2332,Chile,Calama,Cobreloa,1977,Estadio Zorros del Desierto
2337,Chile,Chillán,Nublense,1916,Estadio Bicentenario Municipal Nelson Oyarzún
2343,Chile,Copiapó,Deportes Copiapo,1999,Estadio Luis Valenzuela Hermosilla
2994,Chile,Santiago de Chile,U. Catolica,1937,Estadio Santa Laura-Universidad SEK
