firstname,lastname,age,nationality,height,weight,injured,team
Fernando Matías,Zampedri,36,Argentina,184 cm,84 kg,False,U. Catolica
Franco Ezequiel,Frías,22,Argentina,174 cm,69 kg,False,Union Espanola
Steffan Patricio,Pino Briceño,30,Chile,199 cm,90 kg,False,Deportes Iquique
Cristian Martín,Palacios Ferreira,34,Uruguay,173 cm,68 kg,False,Universidad de Chile
Ignacio Alejandro,Jeraldino Jil,29,Chile,184 cm,72 kg,False,A. Italiano
Rodrigo Nicolás,Contreras,29,Argentina,182 cm,78 kg,False,Everton de Vina
Bryan Paul,Carrasco Santos,33,Chile,171 cm,74 kg,False,Palestino
Leonardo Felipe,Valencia Rossel,33,Chile,173 cm,78 kg,False,Cobresal
Gonzalo Andrés,Tapia Dubournais,22,Chile,179 cm,80 kg,False,U. Catolica
Gonzalo Alejandro,Ríos,25,Argentina,174 cm,66 kg,False,A. Italiano
Gabriel Maximiliano,Graciani,31,Argentina,180 cm,75 kg,False,Nublense
Damián Nicolás,Pizarro Huenuqueo,19,Chile,185 cm,85 kg,False,Colo Colo
Edson Raúl,Puch Cortés,38,Chile,168 cm,72 kg,False,Deportes Iquique
Álvaro Sebastián,Ramos Sepúlveda,32,Chile,167 cm,70 kg,False,Deportes Iquique
Leandro Miguel,Fernández,33,Argentina,178 cm,70 kg,False,Universidad de Chile
Bryan Martín,Rabello Mella,30,Chile,168 cm,65 kg,False,O'Higgins
Octavio Andrés,Bianchi,29,Argentina,,,False,O'Higgins
Maximiliano Armando,Quinteros,35,Argentina,,,False,Deportes Copiapo
Diego Hernán,González,36,Argentina,180 cm,78 kg,False,Union Espanola
Pedro Iván,Sánchez Torrealba,26,Chile,179 cm,66 kg,False,Nublense
