firstname,lastname,goals,assists,conceded,penalty_scored,penalty_missed,total_passes,key_passes,total_duels,duels_won
Fernando Matías,Zampedri,9,2,0,2,0,186,5,134,48
Franco Ezequiel,Frías,8,0,0,0,0,142,1,72,34
Steffan Patricio,Pino Briceño,7,3,0,0,0,201,18,125,58
Cristian Martín,Palacios Ferreira,7,1,0,0,0,123,12,70,26
Ignacio Alejandro,Jeraldino Jil,7,1,0,3,0,230,18,162,73
Rodrigo Nicolás,Contreras,6,3,0,1,0,221,17,115,50
Bryan Paul,Carrasco Santos,6,0,0,1,0,239,14,68,26
Leonardo Felipe,Valencia Rossel,6,2,0,3,0,440,35,92,45
Gonzalo Andrés,Tapia Dubournais,5,3,0,0,0,133,14,103,47
Gonzalo Alejandro,Ríos,5,2,0,0,0,400,14,103,50
Gabriel Maximiliano,Graciani,5,2,0,0,0,285,10,117,57
Damián Nicolás,Pizarro Huenuqueo,5,1,0,0,0,92,1,53,16
Edson Raúl,Puch Cortés,5,1,0,1,0,337,17,79,35
Álvaro Sebastián,Ramos Sepúlveda,5,0,0,1,0,151,10,72,26
Leandro Miguel,Fernández,5,5,0,3,0,399,36,109,44
Bryan Martín,Rabello Mella,4,2,0,0,0,424,25,174,81
Octavio Andrés,Bianchi,4,1,0,0,0,116,10,78,44
Maximiliano Armando,Quinteros,4,1,0,0,1,148,4,68,24
Diego Hernán,González,4,1,0,0,0,572,13,115,52
Pedro Iván,Sánchez Torrealba,4,1,0,0,0,112,10,53,17
